City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,29.97,81,20,0.0,MY,1718214941
84,fortuna,40.5982,-124.1573,13.19,93,100,3.6,US,1718215151
85,manokwari,-0.8667,134.0833,25.5,84,99,1.87,ID,1718215151
86,macapa,0.0389,-51.0664,30.99,70,40,2.06,BR,1718215151
87,awjilah,29.1081,21.2869,37.75,12,0,4.6,LY,1718215152
88,goderich,43.7501,-81.7165,23.18,43,40,6.17,CA,1718215152
89,xining,36.6167,101.7667,12.12,83,100,2.52,CN,1718215152
90,chateaulin,48.2,-4.0833,17.34,69,76,3.51,FR,1718215152
91,vila franca do campo,37.7167,-25.4333,21.23,64,67,1.57,PT,1718215153
92,battagram,34.6772,73.0233,24.44,39,8,2.6,PK,1718215153
93,kapuskasing,49.4169,-82.4331,23.05,46,20,7.2,CA,1718215153
94,thunder bay,48.4001,-89.3168,21.95,53,75,4.63,CA,1718214988
95,la passe,45.5549,-0.8967,21.13,70,37,6.16,FR,1718215154
96,lagunas,-5.2269,-75.6753,33.82,47,64,0.56,PE,1718215155
97,punta arenas,-53.15,-70.9167,2.06,93,100,6.17,CL,1718215155
98,mount isa,-20.7333,139.5,8.87,61,4,1.03,AU,1718215155
99,allouez,44.4775,-88.0162,29.3,46,0,3.6,US,1718215156
100,bikenibeu village,1.3673,173.1241,27.98,83,40,3.09,KI,1718215156
101,namibe,-15.1961,12.1522,20.42,73,12,3.06,AO,1718215156
102,longyearbyen,78.2186,15.6401,2.91,81,75,9.77,SJ,1718215157
103,kapa'a,22.0752,-159.319,24.5,88,75,7.2,US,1718215157
104,la oliva,28.6105,-13.9291,21.66,53,20,9.77,ES,1718215157
105,puerto francisco de orellana,-0.4667,-76.9667,28.03,78,75,1.54,EC,1718215157
106,kangding,30.0513,101.9603,14.49,98,99,1.85,CN,1718215158
107,grantsville,40.5999,-112.4644,33.07,27,0,2.68,US,1718215158
108,puerto ayora,-0.7393,-90.3518,26.98,88,86,3.58,EC,1718215158
109,christchurch,-43.5333,172.6333,9.95,85,75,4.63,NZ,1718215159
110,ulladulla,-35.35,150.4667,8.65,73,56,5.01,AU,1718215159
111,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1718215159
112,tsiombe,-25.3,45.4833,20.02,87,17,5.08,MG,1718215160
113,daru,-9.0763,143.2092,24.79,87,100,5.9,PG,1718215160
114,sinop,41.7711,34.8709,20.89,67,1,1.75,TR,1718214940
115,upington,-28.4478,21.2561,16.21,33,0,1.54,ZA,1718215161
116,puerto natales,-51.7236,-72.4875,3.25,81,75,1.03,CL,1718215161
117,shanhaiguan,39.9988,119.7564,20.41,72,53,1.7,CN,1718215161
118,antonio enes,-16.2325,39.9086,21.24,81,18,5.46,MZ,1718215162
119,east london,-33.0153,27.9116,14.52,72,0,5.14,ZA,1718215162
120,salekhard,66.53,66.6019,15.22,73,72,2.68,RU,1718215162
121,portland,45.5234,-122.6762,17.77,65,75,2.57,US,1718214837
122,college,64.8569,-147.8028,15.25,89,75,4.63,US,1718215163
123,gwadar,25.1216,62.3254,29.34,85,0,3.49,PK,1718215163
124,tiksi,71.6872,128.8694,2.55,80,42,2.27,RU,1718215164
125,limon,10.0,-83.0333,31.7,70,0,2.06,CR,1718215164
126,vetluzhskiy,58.3902,45.4654,18.49,93,69,4.09,RU,1718215164
127,pestovo,58.5938,35.8024,16.74,76,97,2.24,RU,1718215164
128,turpan,42.9333,89.1667,35.01,17,94,2.27,CN,1718215165
129,rudsar,37.1376,50.288,24.99,91,7,0.51,IR,1718215165
130,ghat,24.9647,10.1728,39.2,7,0,2.49,LY,1718215165
131,dudinka,69.4058,86.1778,8.71,53,62,3.13,RU,1718215166
132,zheleznodorozhnyy,55.7503,38.0042,23.75,92,100,0.37,RU,1718215166
133,simanggang,1.2472,111.4528,23.99,100,100,1.03,MY,1718215166
134,lompoc,34.6391,-120.4579,24.88,89,100,4.12,US,1718215167
135,cole harbour,44.6724,-63.4751,21.66,81,20,6.17,CA,1718215167
136,teknaf,20.8624,92.3058,26.92,86,100,4.2,BD,1718215167
137,bamboo flat,11.7,92.7167,29.05,84,40,3.09,IN,1718215168
138,vredendal,-31.6683,18.5012,14.47,75,1,2.25,ZA,1718215168
139,burao,9.5221,45.5336,26.86,46,97,7.74,SO,1718215168
140,wenling,28.3669,121.36,22.24,97,79,0.89,CN,1718215169
141,jamestown,42.097,-79.2353,23.62,52,20,1.54,US,1718215169
142,kununurra,-15.7667,128.7333,15.99,82,69,1.54,AU,1718215169
143,prien,30.1819,-93.2738,31.68,64,0,4.12,US,1718215170
144,ust-nera,64.5667,143.2,11.07,66,97,1.47,RU,1718215170
145,khandyga,62.6667,135.6,10.14,85,90,1.73,RU,1718215170
146,iskateley,67.6803,53.1512,13.34,74,84,3.13,RU,1718215171
147,orkney,-26.9802,26.6727,13.44,34,4,1.94,ZA,1718215171
148,fort mcmurray,56.7268,-111.381,17.77,59,100,1.03,CA,1718215171
149,vilyuchinsk,52.9306,158.4028,8.85,94,98,0.52,RU,1718215172
150,ixtlahuacan del rio,20.8667,-103.25,32.55,17,3,4.25,MX,1718215172
151,wailua homesteads,22.0669,-159.378,23.75,89,75,7.2,US,1718215172
152,bathsheba,13.2167,-59.5167,31.34,70,20,8.23,BB,1718215172
153,olonkinbyen,70.9221,-8.7187,0.7,95,100,7.53,SJ,1718215173
154,al bardiyah,31.7561,25.0865,27.67,42,0,1.79,LY,1718215173
155,nova sintra,14.8667,-24.7167,23.99,80,29,9.0,CV,1718215173
156,mount gambier,-37.8333,140.7667,9.23,71,100,1.73,AU,1718215174
157,nuuk,64.1835,-51.7216,1.6,83,100,4.02,GL,1718215174
158,clodomira,-27.5744,-64.1311,30.48,40,0,7.94,AR,1718215175
159,gao,16.6362,1.637,39.18,18,10,4.02,ML,1718215175
160,aasiaat,68.7098,-52.8699,0.78,92,100,8.0,GL,1718215175
161,sebastopol,44.6,33.5333,22.22,58,2,0.45,UA,1718215176
162,prado,-17.3411,-39.2208,25.93,61,7,3.87,BR,1718215176
163,ayorou,14.7308,0.9174,39.28,22,25,4.33,NE,1718215177
164,quellon,-43.1167,-73.6167,10.85,95,100,7.01,CL,1718215177
165,lebu,-37.6167,-73.65,13.2,94,100,10.99,CL,1718215177
166,kirakira,-10.4544,161.9205,25.95,88,66,1.88,SB,1718215178
167,twon-brass,4.3151,6.2418,27.46,79,89,3.66,NG,1718215178
168,siwa oasis,29.2041,25.5195,36.48,14,0,4.04,EG,1718215178
169,bandundu,-3.3167,17.3667,26.81,39,16,1.01,CD,1718215178
170,gorodishche,48.8045,44.4744,26.49,57,40,4.0,RU,1718215179
171,tazovsky,67.4667,78.7,8.0,98,100,1.94,RU,1718215179
172,grand falls-windsor,48.9332,-55.6649,21.39,76,100,1.79,CA,1718215179
173,albany,42.6001,-73.9662,22.79,62,81,0.89,US,1718215180
174,cobija,-11.0267,-68.7692,34.1,52,40,2.06,BO,1718215180
175,machico,32.7,-16.7667,22.06,72,40,3.6,PT,1718215181
176,north battleford,52.7834,-108.2847,15.22,77,100,6.17,CA,1718215181
177,qaqortoq,60.7167,-46.0333,4.78,70,43,12.95,GL,1718215181
178,klungkung,-8.5333,115.4,25.38,90,100,0.81,ID,1718215182
179,chabahar,25.2919,60.643,31.19,76,0,3.86,IR,1718215182
180,phan rang-thap cham,11.5667,108.9833,27.78,74,62,1.62,VN,1718215182
181,senanga,-16.1167,23.2667,15.63,32,0,3.01,ZM,1718215182
182,port augusta,-32.5,137.7667,11.81,86,100,0.76,AU,1718215183
183,fukuecho,32.6881,128.8419,21.96,84,98,1.97,JP,1718215183
184,vorgashor,67.5833,63.95,7.67,99,100,1.11,RU,1718215183
